Parametri	coerenti	con	TOOLBOX	-	azzerate	distorsioni			err		diff (toolbox no dist),(non coerenti)					
image	33.00.00	90,1299	9,79156	-173,137	2,94016	5,16631	155,248	20			0,9826	0,47654	-8,653	-2,57811	-2,22408	1,41
image	34.00.00	90,5428	7,68568	-175,444	2,96441	5,2036	156,225	20			0,9528	0,29668	-10,086	-2,59122	-2,23834	1,414
																
Parametri	coerenti	TOOLBOX							err							
image	1.00	91,181	-2,65577	179,351	0,519158	0,121184	36,8184	20	0,2							
image	2.00	91,1884	-2,3524	179,561	0,517145	0,123592	36,8014	20	0,2							
image	3.00	91,2095	-2,18043	179,819	0,515328	0,125909	36,8001	20	0,2							
image	4.00	91,3212	-0,53446	179,475	1,48013	-0,167627	41,915	20	0,3							
image	5.00	91,3188	-0,498596	179,306	1,48302	-0,167014	41,9174	20	0,3							
image	6.00	91,3379	-0,484536	179,398	1,48167	-0,167041	41,9149	20	0,3							
image	7.00	91,2906	-2,18236	-178,828	1,61669	-0,545537	47,2462	20	0,8							
image	8.00	91,3043	-1,74295	-178,648	1,61849	-0,540943	47,2538	20	0,8							
image	9.00	91,2769	-2,21031	-178,89	1,61637	-0,544632	47,2144	20	0,8							
image	10.00	91,3498	-2,01558	179,583	2,27656	-0,829116	52,544	20	1,1							
image	11.00	91,3401	-2,28334	179,483	2,27632	-0,829091	52,4956	20	1,1							
image	12.00	91,3366	-2,16386	179,682	2,27589	-0,827134	52,5082	20	1,1							
image	13.00	91,0391	-0,286857	179,326	3,91408	-0,786817	57,8711	20	1,1							
image	14.00	91,0175	-0,0344635	179,696	3,90896	-0,786793	57,8708	20	1,1							
image	15.00	91,0343	-2,8102	175,854	1,93504	-1,33274	62,8503	20	1,4							
image	16.00	91,0705	-2,63564	175,839	1,93603	-1,33374	62,8565	20	1,4							
image	17.00	91,1691	2,72254	-171,537	2,09063	-1,86836	73,3034	20	2,2							
image	18.00	91,1708	2,74628	-171,413	2,08979	-1,86919	73,3156	20	2,2							
image	19.00	91,0136	0,837555	173,548	1,42115	-2,4224	83,8518	20	2,5							
image	20.00	91,0208	0,97403	173,182	1,42567	-2,42136	83,8656	20	2,5							
image	21.00	91,1257	-1,89772	179,647	0,790369	-3,13597	94,5295	20	3,4							
image	22.00	91,4017	-2,47068	-174,191	0,763849	-3,13435	94,34	20	3,4							
image	23.00	91,4345	-4,26323	-171,181	1,04262	-3,65451	105,943	20	4,5							
image	24.00.00	91,5387	-4,49384	-170,754	1,04346	-3,65125	105,873	20	4,5							
image	25.00.00	91,2485	-6,72375	171,534	0,692119	-4,33907	116,864	20	5,4							
image	26.00.00	91,2994	-6,5686	171,898	0,690522	-4,33903	116,994	20	5,4							
image	27.00.00	91,661	-3,62359	-168,984	1,10948	-4,89521	125,379	20	4,1							
image	28.00.00	92,0295	-5,25229	-168,369	1,11266	-4,88729	124,993	20	4,1							
image	29.00.00	92,0295	-5,25229	-168,369	1,11266	-4,88729	124,993	20	4,1							
image	30.00.00	91,5202	2,62572	-167,311	4,84395	6,79114	136,75	20	5,8							
image	31.00.00	91,759	-6,12892	-164,107	4,66563	7,35637	146,132	20	5,8							
image	32.00.00	92,0572	-7,36887	-164,127	4,66251	7,34052	145,816	20	4,4							
image	33.00.00	89,1473	9,31502	-164,484	5,51827	7,39039	153,838	20	4,4							
image	34.00.00	89,59	7,389	-165,358	5,55563	7,44194	154,811	20	3,7							
